Column_or_Row_Name,Unit,Definition,Term_Type,Data_Type
Dissolved_Oxygen_1_Slope,milligrams per liter per minute,Slope of the line for the linear regression of miniDOT 1 dissolved oxygen sample data against time.,column_header,numeric
Dissolved_Oxygen_2,milligrams per liter,Dissolved oxygen from miniDOT 2. ,column_header,numeric
Dissolved_Oxygen_2_Max,milligrams per liter,Dissolved oxygen maximum from miniDOT 2. ,column_header,numeric
Dissolved_Oxygen_2_Mean,milligrams per liter,Dissolved oxygen mean from miniDOT 2. ,column_header,numeric
Dissolved_Oxygen_2_Median,milligrams per liter,Dissolved oxygen median from miniDOT 2. ,column_header,numeric
Dissolved_Oxygen_2_Min,milligrams per liter,Dissolved oxygen minimum from miniDOT 2. ,column_header,numeric
Dissolved_Oxygen_2_NRMSE,N/A,The normalized root mean square error (NRMSE) for the linear regression of miniDOT 2 dissolved oxygen data against time.,column_header,numeric
Dissolved_Oxygen_2_RMSE,milligrams per liter,The root mean square error (RMSE) for the linear regression of miniDOT 2 dissolved oxygen data against time.,column_header,numeric
Dissolved_Oxygen_2_Rsquared,N/A,R-squared value for the linear regression of miniDOT 2 dissolved oxygen data against time.,column_header,numeric
Dissolved_Oxygen_2_Slope,milligrams per liter per minute,Slope of the line for the linear regression of miniDOT 2 dissolved oxygen sample data against time.,column_header,numeric
Dissolved_Oxygen_3,milligrams per liter,Dissolved oxygen from miniDOT 3. ,column_header,numeric
Dissolved_Oxygen_3_Max,milligrams per liter,Dissolved oxygen maximum from miniDOT 3. ,column_header,numeric
Dissolved_Oxygen_3_Mean,milligrams per liter,Dissolved oxygen mean from miniDOT 3. ,column_header,numeric
Dissolved_Oxygen_3_Median,milligrams per liter,Dissolved oxygen median from miniDOT 3. ,column_header,numeric
Dissolved_Oxygen_3_Min,milligrams per liter,Dissolved oxygen minimum from miniDOT 3. ,column_header,numeric
Dissolved_Oxygen_3_NRMSE,N/A,The normalized root mean square error (NRMSE) for the linear regression of miniDOT 3 dissolved oxygen data against time.,column_header,numeric
Dissolved_Oxygen_3_RMSE,milligrams per liter,The root mean square error (RMSE) for the linear regression of miniDOT 3 dissolved oxygen data against time.,column_header,numeric
Dissolved_Oxygen_3_Rsquared,N/A,R-squared value for the linear regression of miniDOT 3 dissolved oxygen data against time.,column_header,numeric
Dissolved_Oxygen_3_Slope,milligrams per liter per minute,Slope of the line for the linear regression of miniDOT 3 dissolved oxygen sample data against time.,column_header,numeric
Dissolved_Oxygen_Saturation_1,percent saturation,Dissolved oxygen percent saturation from miniDOT 1. ,column_header,numeric
Dissolved_Oxygen_Saturation_1_Max,percent saturation,Dissolved oxygen percent saturation maximum from miniDOT 1. ,column_header,numeric
Dissolved_Oxygen_Saturation_1_Mean,percent saturation,Dissolved oxygen percent saturation mean from miniDOT 1. ,column_header,numeric
Dissolved_Oxygen_Saturation_1_Median,percent saturation,Dissolved oxygen percent saturation median from miniDOT 1. ,column_header,numeric
Dissolved_Oxygen_Saturation_1_Min,percent saturation,Dissolved oxygen percent saturation minimum from miniDOT 1. ,column_header,numeric
Dissolved_Oxygen_Saturation_2,percent saturation,Dissolved oxygen percent saturation from miniDOT 2. ,column_header,numeric
Dissolved_Oxygen_Saturation_2_Max,percent saturation,Dissolved oxygen percent saturation maximum from miniDOT 2. ,column_header,numeric
Dissolved_Oxygen_Saturation_2_Mean,percent saturation,Dissolved oxygen percent saturation mean from miniDOT 2. ,column_header,numeric
Dissolved_Oxygen_Saturation_2_Median,percent saturation,Dissolved oxygen percent saturation median from miniDOT 2. ,column_header,numeric
Dissolved_Oxygen_Saturation_2_Min,percent saturation,Dissolved oxygen percent saturation minimum from miniDOT 2. ,column_header,numeric
Dissolved_Oxygen_Saturation_3,percent saturation,Dissolved oxygen percent saturation from miniDOT 3. ,column_header,numeric
Dissolved_Oxygen_Saturation_3_Max,percent saturation,Dissolved oxygen percent saturation maximum from miniDOT 3. ,column_header,numeric
Dissolved_Oxygen_Saturation_3_Mean,percent saturation,Dissolved oxygen percent saturation mean from miniDOT 3. ,column_header,numeric
Dissolved_Oxygen_Saturation_3_Median,percent saturation,Dissolved oxygen percent saturation median from miniDOT 3. ,column_header,numeric
Dissolved_Oxygen_Saturation_3_Min,percent saturation,Dissolved oxygen percent saturation minimum from miniDOT 3. ,column_header,numeric
Dominant_Sediment_Type,N/A,Estimated dominant sediment type/size class of streambed. Size/type classes include gravel/cobble (>2mm); sand; silt/mud (<0.0625mm); or bedrock (primarily).,column_header,text
Equilibration_End_Time,hh:mm UTC-08:00,The end time of sensor equilibration period for a miniDOT Logger deployment; completed to the known precision; and recorded in Pacific Standard Time.,column_header,time
Equilibration_Start_Time,hh:mm UTC-08:00,The start time of sensor equilibration period for a miniDOT Logger deployment using a specified InstallationMethod_ID; completed to the known precision; and recorded in Pacific Standard Time.,column_header,time
Field_Program_Cruise,N/A,Name of field program or cruise registered in the SESAR system.,column_header,text
Field_Staff,N/A,"The name of field staff involved in data collection. Listed by ""Last Name; First Name"" and separated by commas.",column_header,text
File_Description,N/A,A brief description of the files in the data package.,column_header,text
File_Name,N/A,Name of files in the data package.,column_header,text
File_Path,N/A,File path within the data package.,column_header,text
GPS_Accuracy,feet,Accuracy of GPS location data accuracy; measured in feet.,column_header,numeric
IGSN,N/A,International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration),column_header,text
InstallationMethod_Description,N/A,Free text field to describe the sensor installation/deployment design; structure; or general information.,column_header,text
InstallationMethod_ID,N/A,Unique user-determined ID for a method described in the InstallationMethods_Description column in InstallationMethods.csv and listed as a metadata header row term in the data files.,column_header,text
Latitude,decimal degrees WGS84,Geographic location (latitude) of site. GPS data collected using MyGPS app installed on handheld cellular phone (iPhone or Android) or Samsung Galaxy Tab A7.,column_header,numeric
Longitude,decimal degrees WGS84,Geographic location (longitude) of site. GPS data collected using MyGPS app installed on handheld cellular phone (iPhone or Android) or Samsung Galaxy Tab A7.,column_header,numeric
Macrophyte_Coverage,percent,Estimated canopy cover over the river only. Total riparian zone canopy cover does not apply. One of the following classes may be selected: >70%; 30-70%; 5-30%; or none.,column_header,text
Manta_End_Time,hh:mm UTC-08:00,End time of Manta+ 35B sensor deployment using a specified InstallationMethod_ID; completed to the known precision; and recorded in Pacific Standard Time.,column_header,time
Manta_Start_Time,hh:mm UTC-08:00,Start time of Manta+ 35B sensor deployment using a specified InstallationMethod_ID; completed to the known precision; and recorded in Pacific Standard Time.,column_header,time
Manta_Time_Turned_Off,hh:mm UTC-08:00,Time when sensor logging is turned off for a Manta+ 35B sensor deployment using a specified InstallationMethod_ID; completed to the known precision; and recorded in Pacific Standard Time.,column_header,time
Manta_Time_Turned_On,hh:mm UTC-08:00,Time when sensor logging is turned on for a Manta+ 35B sensor deployment using a specified InstallationMethod_ID; completed to the known precision; and recorded in Pacific Standard Time.,column_header,time
MiniDot_End_Time,hh:mm UTC-08:00,The time when sensor logging is turned off for a miniDOT Logger deployment using a specified InstallationMethod_ID; completed to the known precision; and recorded in military time Pacific Standard Time.,column_header,time
MiniDot_Start_Time,hh:mm UTC-08:00,Time when sensor logging is turned on for a miniDOT sensor deployment using a specified InstallationMethod_ID; completed to the known precision; and recorded in Pacific Standard Time.,column_header,time
Missing_Value_Codes,N/A,"Cells with missing data are represented with a missing value code rather than an empty cell. This column describes which missing value codes were used. The recommendation for numeric data is ""-9999"" and for character data is ""N/A"". ",column_header,text
Notes,N/A,Free text field to record notes related to the site visit; including weather; site disturbance; sensor installation difficulties; or other information relevant to the quality of data collected.,column_header,text
Other_Name,N/A,Alternate name used for site in addition to site ID listed in Sample_Name column.,column_header,text
pH,pH,pH.,column_header,numeric
pH_Max,pH,pH maximum.,column_header,numeric
pH_Mean,pH,pH mean.,column_header,numeric
pH_Median,pH,pH median.,column_header,numeric
pH_Min,pH,pH minimum.,column_header,numeric
Physiographic_Feature_Name,N/A,Name of the physiographic feature (river).,column_header,text
Pressure,millibars,Barometric pressure; absolute.,column_header,numeric
Pressure_Max,millibars,Barometric pressure maximum.,column_header,numeric
Pressure_Mean,millibars,Barometric pressure mean.,column_header,numeric
Pressure_Median,millibars,Barometric pressure median.,column_header,numeric
Pressure_Min,millibars,Barometric pressure minimum.,column_header,numeric
Primary_Physiographic_Feature,N/A,Type of physical feature that sample was collected from (suggested vocabulary from SESAR).,column_header,text
Sample_Name,N/A,In the field metadata file: Water chemistry sample vial ID. Chemistry data is published in a separate data package. In the IGSN mapping file: site ID.,column_header,text
Site_ID,N/A,Site ID. Three-digit alphanumeric code used to identify site.,column_header,text
Specific_Conductance,microsiemens per centimeter,Specific conductance. Electrical conductivity at 25 degrees Celsius.,column_header,numeric
Specific_Conductance_Max,microsiemens per centimeter,Specific conductance maximum.,column_header,numeric
Specific_Conductance_Mean,microsiemens per centimeter,Specific conductance mean.,column_header,numeric
Specific_Conductance_Median,microsiemens per centimeter,Specific conductance median.,column_header,numeric
Specific_Conductance_Min,microsiemens per centimeter,Specific conductance minimum.,column_header,numeric
Standard,N/A,ESS-DIVE Reporting Format or other standard applied to the data file.,column_header,text
State_or_Province,N/A,State or province.,column_header,text
Stream_Gradient,N/A,General gradient of river. One of the following classes may be selected: relatively flat/gentle gradient (e.g.; valleys) or relatively steep gradient (e.g.; mountainous or hilly terrain).,column_header,text
Stream_Hydrogeomorphology,N/A,General hydrogeomorphology of river. One of the following classes may be selected: multi-channel (braided); single-channel straight; single-channel meandering.,column_header,text
Temperature,degree Celsius,Water temperature.,column_header,numeric
Temperature_1,degree Celsius,Water temperature from miniDOT 1. ,column_header,numeric
Temperature_1_Max,degree Celsius,Water temperature maximum from miniDOT 1. ,column_header,numeric
Temperature_1_Mean,degree Celsius,Water temperature mean from miniDOT 1. ,column_header,numeric
Temperature_1_Median,degree Celsius,Water temperature median from miniDOT 1. ,column_header,numeric
Temperature_1_Min,degree Celsius,Water temperature min from miniDOT 1. ,column_header,numeric
Temperature_2,degree Celsius,Water temperature from miniDOT 2. ,column_header,numeric
Temperature_2_Max,degree Celsius,Water temperature maximum from miniDOT 2. ,column_header,numeric
Temperature_2_Mean,degree Celsius,Water temperature mean from miniDOT 2. ,column_header,numeric
Temperature_2_Median,degree Celsius,Water temperature median from miniDOT 2. ,column_header,numeric
Temperature_2_Min,degree Celsius,Water temperature min from miniDOT 2. ,column_header,numeric
Temperature_3,degree Celsius,Water temperature from miniDOT 3. ,column_header,numeric
Temperature_3_Max,degree Celsius,Water temperature maximum from miniDOT 3. ,column_header,numeric
Temperature_3_Mean,degree Celsius,Water temperature mean from miniDOT 3. ,column_header,numeric
Temperature_3_Median,degree Celsius,Water temperature median from miniDOT 3. ,column_header,numeric
Temperature_3_Min,degree Celsius,Water temperature minimum from miniDOT 3. ,column_header,numeric
Temperature_Max,degree Celsius,Water temperature maximum.,column_header,numeric
Temperature_Mean,degree Celsius,Water temperature mean.,column_header,numeric
Temperature_Median,degree Celsius,Water temperature median.,column_header,numeric
Temperature_Min,degree Celsius,Water temperature minimum.,column_header,numeric
Term_Type,N/A,Indicates whether the header is a column header or row header.,column_header,text
Test_End_Time,hh:mm UTC-08:00,The end time of data collection during a test period for a miniDOT Logger deployment using a specified InstallationMethod_ID; completed to the known precision; and recorded in Pacific Standard Time.,column_header,time
Test_Start_Time,hh:mm UTC-08:00,The start time of data collection during a test period for a miniDOT Logger deployment using a specified InstallationMethod_ID; completed to the known precision; and recorded in Pacific Standard Time.,column_header,time
Time_Arriving,hh:mm UTC-08:00,Site arrival time. Recorded in Pacific Standard Time.,column_header,time
Time_Leaving,hh:mm UTC-08:00,Site departure time. Recorded in Pacific Standard Time.,column_header,time
Time_Zone,N/A,Time zone in which the data was collected; recorded in Pacific Standard Time.,column_header,text
Ultrameter_pH_1,pH,First of three consecutive Ultrameter pH measurements.,column_header,numeric
Ultrameter_pH_2,pH,Second of three consecutive Ultrameter pH measurements.,column_header,numeric
Ultrameter_pH_3,pH,Third of three consecutive Ultrameter pH measurements.,column_header,numeric
Ultrameter_Specific_Conductance_1,microsiemens per centimeter,First of three consecutive Ultrameter measurements of specific conductance. Electrical conductivity at 25 degrees Celsius.,column_header,numeric
Ultrameter_Specific_Conductance_2,microsiemens per centimeter,Second of three consecutive Ultrameter specific conductance measurements. Electrical conductivity at 25 degrees Celsius.,column_header,numeric
Ultrameter_Specific_Conductance_3,microsiemens per centimeter,Third of three consecutive Ultrameter specific conductance measurements. Electrical conductivity at 25 degrees Celsius.,column_header,numeric
Ultrameter_Temperature_1,degree Celsius,First of three consecutive Ultrameter temperature measurements.,column_header,numeric
Ultrameter_Temperature_2,degree Celsius,Second of three consecutive Ultrameter temperature measurements.,column_header,numeric
Ultrameter_Temperature_3,degree Celsius,Third of three consecutive Ultrameter temperature measurements.,column_header,numeric
Ultrameter_Time_1,hh:mm UTC-08:00,Time of first set of Ultrameter measurements using a specified InstallationMethod_ID; completed to the known precision; and recorded in Pacific Standard Time.,column_header,numeric
Ultrameter_Time_2,hh:mm UTC-08:00,Time of second set of Ultrameter measurements using a specified InstallationMethod_ID; completed to the known precision; and recorded in Pacific Standard Time.,column_header,numeric
Ultrameter_Time_3,hh:mm UTC-08:00,Time of third set of Ultrameter measurements using a specified InstallationMethod_ID; completed to the known precision; and recorded in Pacific Standard Time.,column_header,numeric
Ultrameter_Total_Dissolved_Solids_1,parts per million,First of three consecutive Ultrameter total dissolved solids measurements.,column_header,numeric
Ultrameter_Total_Dissolved_Solids_2,parts per million,Second of three consecutive Ultrameter total dissolved solids measurements.,column_header,numeric
Ultrameter_Total_Dissolved_Solids_3,parts per million,Third of three consecutive Ultrameter total dissolved solids measurements.,column_header,numeric
Unit,N/A,Units that apply to a given column in the dataset.,column_header,text
Vegetation,N/A,General type of vegetation present in the riparian corridor. Up to two of the following types may be selected if mixed: needleaf evergreen tree; needleaf deciduous tree; broadleaf evergreen tree; broadleaf deciduous tree; shrub; grass; crop; and/or not vegetated.,column_header,text
Weather,N/A,Weather conditions (sunny; partly cloudy; overcast; raining; other) during data collection.,column_header,text
