#Samples have International Geo Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Locality,Country,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type,Physiographic_Feature_Name,State_or_Province
SPS_0021,IEPRS009B,IEPRS007W,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.41986,-121.087854,stream,S14,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Waptus River,Washington
SPS_0021_RNA,IEPRS00AM,IEPRS007W,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.41986,-121.087854,stream,S14,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Waptus River,Washington
SPS_0022,IEPRS009I,IEPRS0083,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.185797,-121.043826,stream,S21R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0022_RNA,IEPRS00AT,IEPRS0083,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.185797,-121.043826,stream,S21R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0023,IEPRS00AD,IEPRS008Y,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.239586,-121.227415,stream,S83,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,Cabin Creek,Washington
SPS_0023_RNA,IEPRS00BO,IEPRS008Y,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.239586,-121.227415,stream,S83,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,Cabin Creek,Washington
SPS_0025,IEPRS009A,IEPRS007V,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.420551,-121.086972,stream,S13R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Cle Elum River,Washington
SPS_0025_RNA,IEPRS00AL,IEPRS007V,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.420551,-121.086972,stream,S13R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Cle Elum River,Washington
SPS_0026,IEPRS009K,IEPRS0085,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.354254,-121.108406,stream,S24R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-09-01,https://www.pnnl.gov/projects/river-corridor,regular URL,Cle Elum River,Washington
SPS_0026_RNA,IEPRS00AV,IEPRS0085,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.354254,-121.108406,stream,S24R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-09-01,https://www.pnnl.gov/projects/river-corridor,regular URL,Cle Elum River,Washington
SPS_0027,IEPRS009Z,IEPRS008K,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.631447,-120.521815,stream,S50,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0027_RNA,IEPRS00BA,IEPRS008K,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.631447,-120.521815,stream,S50,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0028,IEPRS00A4,IEPRS008P,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.855643,-120.483696,stream,S67,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0028_RNA,IEPRS00BF,IEPRS008P,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.855643,-120.483696,stream,S67,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0029,IEPRS00A5,IEPRS008Q,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.855711,-120.484841,stream,S68,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Umtanum Creek,Washington
SPS_0029_RNA,IEPRS00BG,IEPRS008Q,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.855711,-120.484841,stream,S68,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Umtanum Creek,Washington
SPS_0030,IEPRS00A0,IEPRS008L,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.729878,-120.803616,stream,S51,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Tieton River,Washington
SPS_0030_RNA,IEPRS00BB,IEPRS008L,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.729878,-120.803616,stream,S51,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Tieton River,Washington
SPS_0031,IEPRS009Y,IEPRS008J,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.724267,-120.813351,stream,S49R,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Tieton River,Washington
SPS_0031_RNA,IEPRS00B9,IEPRS008J,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.724267,-120.813351,stream,S49R,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Tieton River,Washington
SPS_0032,IEPRS00A1,IEPRS008M,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.663547,-120.805047,stream,S55,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,South Fork Cowiche Creek,Washington
SPS_0032_RNA,IEPRS00BC,IEPRS008M,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.663547,-120.805047,stream,S55,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,South Fork Cowiche Creek,Washington
SPS_0033,IEPRS00A2,IEPRS008N,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.620687,-120.626954,stream,S56,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Cowiche Creek,Washington
SPS_0033_RNA,IEPRS00BD,IEPRS008N,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.620687,-120.626954,stream,S56,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Cowiche Creek,Washington
SPS_0034,IEPRS00AA,IEPRS008V,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.625578,-120.583712,stream,S77,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Cowiche Creek,Washington
SPS_0034_RNA,IEPRS00BL,IEPRS008V,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.625578,-120.583712,stream,S77,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Cowiche Creek,Washington
SPS_0035,IEPRS00AB,IEPRS008W,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.763844,-120.456432,stream,S79,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0035_RNA,IEPRS00BM,IEPRS008W,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.763844,-120.456432,stream,S79,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Opal_Otenburg", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0040,IEPRS009M,IEPRS0087,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.168488,-120.834427,stream,S26R,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Teanaway River,Washington
SPS_0040_RNA,IEPRS00AX,IEPRS0087,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.168488,-120.834427,stream,S26R,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Teanaway River,Washington
SPS_0041,IEPRS009Q,IEPRS008B,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.082159,-120.733369,stream,S29R,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Taneum Creek,Washington
