Sample_Name,Site_ID,Date,Time_Zone,Field_Staff,Time_Arriving,Time_Leaving,Weather,Vegetation,Stream_Hydrogeomorphology,Stream_Gradient,Dominant_Sediment_Type,Canopy_Coverage,Macrophyte_Coverage,Algal_Mat_Coverage,Latitude,Longitude,GPS_Accuracy,Notes
SPS_0015,S15, 2021-09-01,PST,Mikayla_Borton; James_Stegen,8:20,15:29,Sunny,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),Low,None,Low,47.363498,-121.106919,30,N/A
SPS_0016,S20R, 2021-09-02,PST,Mikayla_Borton; James_Stegen,10:20,13:15,Sunny,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,Med,47.19028,-121.01556,33,Sampled under bridge for Manta; large log floated by at 11:57
SPS_0017,S23, 2021-08-31,PST,Mikayla_Borton; James_Stegen,14:10,16:46,Sunny; Partly cloudy,Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,None,47.185944,-120.918817,21,Side channel
SPS_0019,S18R, 2021-08-31,PST,Mikayla_Borton; James_Stegen,10:23,13:21,Overcast; Some sun,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,Med,47.39603,-121.096933,43,Deeper middle channel just beyond sampling location
SPS_0020,S27R, 2021-09-03,PST,Mikayla_Borton; James_Stegen,8:00,10:40,Sunny; Shaded,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Low,None,High,47.260155,-121.176851,18,Stream is braided when more water
SPS_0021,S14, 2021-08-30,PST,Mikayla_Borton; James_Stegen,10:53,-9999,Sunny,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,Low,47.41986,-121.087854,27,Lots of bedrock in riparian zone
SPS_0022,S21R, 2021-09-02,PST,Mikayla_Borton; James_Stegen,7:20,10:05,Sunny; Overcast,Broadleaf deciduous tree; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,Med,47.185797,-121.043826,24,Sandy on banks
SPS_0023,S83, 2021-09-03,PST,Mikayla_Borton; James_Stegen,11:20,13:55,Sunny; Shaded,Broadleaf deciduous tree; Shrub,Multi-channel,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Med,None,Med,47.239586,-121.227415,27,N/A
SPS_0025,S13R, 2021-08-30,PST,Mikayla_Borton; James_Stegen,-9999,-9999,Partly cloudy,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,Med,47.420551,-121.086972,21,N/A
SPS_0026,S24R, 2021-09-01,PST,Mikayla_Borton; James_Stegen,11:05,15:29,Sunny,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,Med,47.354254,-121.108406,27,N/A
SPS_0027,S50, 2021-08-30,PST,Lupita_Renteria; Opal_Otenburg,7:36,10:15,Sunny; Smoky,Shrub; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,None,46.631447,-120.521815,16,We had to move the manta at 8:50 PST to allow for a boater to move through. The water became turbid for a couple of minutes. 
SPS_0028,S67, 2021-08-30,PST,Lupita_Renteria; Opal_Otenburg,10:50,13:32,Sunny,Shrub; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,None,46.855643,-120.483696,16,N/A
SPS_0029,S68, 2021-08-30,PST,Lupita_Renteria; Opal_Otenburg,13:40,15:50,Sunny,Broadleaf evergreen tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),High,None,Med,46.855711,-120.484841,17,N/A
SPS_0030,S51, 2021-08-31,PST,Lupita_Renteria; Opal_Otenburg,7:33,10:00,Sunny; Partly cloudy,Needleleaf evergreen tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,None,46.729878,-120.803616,16,Water was very turbulent. 
SPS_0031,S49R, 2021-08-31,PST,Lupita_Renteria; Opal_Otenburg,10:10,12:41,Sunny; Smoky ,Broadleaf evergreen tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,Low,Low,46.724267,-120.813351,16,N/A
SPS_0032,S55, 2021-09-03,PST,Lupita_Renteria; Opal_Otenburg,12:20,14:54,Sunny,Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Med,None,High,46.663547,-120.805047,17,N/A
SPS_0033,S56, 2021-09-02,PST,Lupita_Renteria; Opal_Otenburg,8:35,11:14,Sunny; Smoky,Shrub; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Low,None,Low,46.620687,-120.626954,17,N/A
SPS_0034,S77, 2021-09-02,PST,Lupita_Renteria; Opal_Otenburg,11:59,14:32,Sunny,Shrub; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Low,None,Low,46.625578,-120.583712,18,N/A
SPS_0035,S79, 2021-09-03,PST,Lupita_Renteria; Opal_Otenburg,7:40,10:22,Sunny,Shrub; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,None,46.763844,-120.456432,16, At 9:10- 9:20 a boat was putting out upstream of our manta. 
SPS_0040,S26R, 2021-08-31,PST,Sophia_McKever; Sammi_Grieger,8:05,10:47,Sunny; Clear; Dry; Light breeze,Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Low,None,Med,47.168488,-120.834427,29,Site under/near bridge incubation under bridge for shade. Some evidence of human impact (i.e trash in and out of water). 
SPS_0041,S29R, 2021-08-31,PST,Sophia_McKever; Sammi_Grieger,11:30,13:57,Sunny; Windy,Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),Low,None,None,47.082159,-120.733369,20, All sampling had to be done under the bridge.
SPS_0042,S19, 2021-08-30,PST,Sophia_McKever; Sammi_Grieger,8:45,11:34,Sunny,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Med,None,Low,47.258225,-120.904118,33,N/A
SPS_0043,S25, 2021-08-30,PST,Sophia_McKever; Sammi_Grieger,11:45,14:20,Sunny; gusty/breezy,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Med,None,High,47.262537,-120.897057,42,N/A
SPS_0044,S19E, 2021-08-30,PST,Sophia_McKever; Sammi_Grieger,14:32,16:55,Sunny; Windy,Broadleaf deciduous tree; Shrub,Multi-channel,Relatively flat/gentle gradient (e.g. valleys),Bedrock (primarily),Low,None,Low,47.255067,-120.878922,48,N/A
SPS_0045,S28R, 2021-09-01,PST,Sophia_McKever; Sammi_Grieger,8:07,-9999,Sunny; light breeze,Broadleaf deciduous tree; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),High,None,Low,47.124215,-120.73804,13,No clear exposed sediment/scour line. Shrubs/grass right up to water edge; only able to get 1X individual quadrant squares for grain size. 
SPS_0046,S28RE, 2021-09-01,PST,Sophia_McKever; Sammi_Grieger,11:05,13:51,Sunny,Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,Low,Low,47.123516,-120.73817,26,Didn't equilibrate for a full 15 mins.
SPS_0047,S71, 2021-09-02,PST,Sophia_McKever; Sammi_Grieger,8:12,10:48,Sunny,Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Low,Low,None,46.968185,-120.691204,13,Close to road; lots of large fallen logs and boulders in middle of stream. Lots of erosion/loose steep soil on bank nearest to road. Not much exposed sediment
SPS_0048,S73, 2021-09-02,PST,Sophia_McKever; Sammi_Grieger,11:38,14:20,Sunny,Broadleaf evergreen tree; Grass,Multi-channel,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,None,46.98778012,-120.5710861,53,"Site on side channel branched from main stem of Yakima. Can not access other side of river where cobble/exposed sediment is. Only exposed ""grain size"" is chunks of cement/granite. Took picture for example. Due to deep very fast moving water manta had to rest next to granite rock. "
SPS_0049,S72, 2021-09-03,PST,Sophia_McKever; Sammi_Grieger,7:58,10:50,Sunny,Broadleaf deciduous tree; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),High,Low,Low,46.99491,-120.590443,22, Site by bridge; Pretty overgrown and eroded banks. Large pipe entering stream by bridge. Could not sample upstream of it; had to sample several meters below it. 
SPS_0050,S75, 2021-09-03,PST,Sophia_McKever; Sammi_Grieger,11:24,14:05,Sunny,Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),High,None,None,47.017577,-120.51748,32,Close to horse field; very shallow and small stream. Looks like lots of potential for agriculture impacts. 
SPS_0053,T07, 2021-09-07,PST,Sophia_McKever; Lupita_Renteria,7:24,9:55,Sunny,Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),None,None,None,46.255319,-119.47405,16,N/A
SPS_0054,T02, 2021-09-07,PST,Sophia_McKever; Lupita_Renteria,10:40,13:18,Sunny; Smoky,Shrub; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),None,None,Low,46.232095,-119.999901,16,N/A
SPS_0055,T03, 2021-09-08,PST,Sophia_McKever; Lupita_Renteria,8:08,10:40,Overcast; Smoky,Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,None,46.530817,-120.470337,16,There weren't many areas with exposed sediments. There was grass all along the bank. 
SPS_0056,T05, 2021-09-08,PST,Sophia_McKever; Lupita_Renteria,11:33,14:05,Sunny; Smoky,Shrub; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,None,46.728776,-120.713733,16,N/A
SPS_0057,W20, 2021-09-14,PST,Lupita_Renteria; Morgan_Barnes,9:00,11:26,Sunny,Shrub; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Low,Low,None,46.832844,-120.710935,13,Algae on rocks but not surface water. For rocks 30-70% 
SPS_0058,W10, 2021-09-15,PST,Lupita_Renteria; Morgan_Barnes,12:20,14:55,Sunny,Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Low,None,None,46.867453,-120.77439,16,We could not fill the chambers under water because the stream was too shallow. We had to use the pitcher to fill the bottle. 
SPS_0059,U20, 2021-09-15,PST,Lupita_Renteria; Morgan_Barnes,13:17,15:59,Overcast,Shrub; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Med,High,High,46.898642,-120.642233,15,There is going to be algae in the TSS sample. It was unavoidable. Did not turn on manta - turned it off after RC3 normal sampling sites and didn't turn back on. 
