Method_Name,Method_ID,Method_Type,Method_Description,Method_Instrument,Method_Lab
DIC_Typical,DIC_T_AN_000,MethodID_Analysis,Three technical replicates of 50 microliters samples were injected into 25 percent phosphoric acid at ambient temperature. Inorganic carbon standard was made from sodium bicarbonate solid and sodium carbonate solid. The calibration range for inorganic carbon was 2.5 to 50 millilgrams_Carbon_per_liter.,Shimadzu TOC-L CSH/CSN E100V with a manual injection block,Pacific Northwest National Laboratory (PNNL) - Richland
DIC_Typical,DIC_T_DP_000,MethodID_DataProcessing,Concentrations were calculated by plotting the area versus the standard concentration of the standards to make a calibration curve. This curve was used to recalculate the inorganic carbon concentration in millilgrams_Carbon_per_liter. The 3 technical replicates were averaged together for each ID.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
DP_Method_QA_QC,DTL_000,MethodID_DataProcessing,"Individual data cells contain a flag if the concentration measured was negative; outside of the standard curve; or below the limit of detection (LOD). Negative concentration values are not reported; rather ""negative_value"" is included in the text string. Values for the maximum or minimum standard concentration or the limit of detection are contained in the data cell as part of the flag text. Example: ""Bromide_0.00585_ppm_Below_LOD_0.026_ppm"" means that the Bromide concentration was 0.00585 milligrams_per_liter (ppm) which was below the 0.026 milligrams_per_liter (ppm) limit of detection.",N/A,Pacific Northwest National Laboratory (PNNL)
DP_Method_QA_QC,DTL_003,MethodID_DataProcessing,"Individual data cells contain a flag if the concentration measured was (1) negative; (2) outside of the standard curve; or (3) below the limit of detection (LOD). The text flag is formatted as ""[DataType]_[Below/Above]_[##]_ppm_[LOD/Standard]|[##]_ppm_Raw_Not_Corrected|[##]_ppm_Final_Corrected"". The ""|"" is used to allow the user to parse apart the three pieces of information. The first part of the text string indicates the reason for the flag and the value of the LOD or Standard. The second part indicates the raw data value without any correction. The third part indicates the final corrected value. This value could be corrected based on dilution or other corrections (see the alphanumeric codes at the top of the data column for more details). A text string such as ""NPOC_Above_30_ppm_Standard|30.1_ppm_Raw_Not_Corrected|415.2_ppm_Final_Corrected"" indicates that the NPOC value is above the 30 parts per million (ppm) standard (the highest standard used); the raw value was 30.1ppm; and the corrected value (due to dilution) is 415.2ppm. The raw not corrected and final corrected values could be the same if there was no dilution or other corrections needed. Negative concentration values are not reported; rather ""Negative_Value"" and ""-9999"" are included in the text string (e.g. ""NPOC_Below_0.5_ppm_LOD|Negative_Value_Raw_Not_Corrected|-9999_ppm_Final_Corrected""). For samples corrected to milligrams per kilogram values the raw data value without correction is the same as the raw milligrams per liter not corrected value.",N/A,Pacific Northwest National Laboratory (PNNL)
Data_Status,ready_to_use,N/A,The data have been evaluated and are ready to use.,N/A,Pacific Northwest National Laboratory (PNNL)
Data_Status,raw,N/A,Raw spectra were converted to a list of mass values by applying the Bruker Daltonik's Data Analysis software FTMS peak picker module (see FTICR instructions folder for details). Peaks have not been aligned and chemical formulas have not been assigned. The data user can follow the instructions within the FTICR instructions folder to process the data to their needed specifications.,N/A,Pacific Northwest National Laboratory (PNNL)
ICR_Typical,ICR_T_IN_004,MethodID_Inspection,Vials were intact and filled to marked line. No precipitate or suspended particles.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
ICR_Typical,ICR_T_ST_004,MethodID_Storage,Stored at -20 degC then thawed in 4 degC (refrigerator) for three days.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
ICR_Typical,ICR_T_PRES_004,MethodID_Preservation,2 microliters of 85% phosphoric acid per 5 milliliters of sample was put in vial prior to adding sample.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
ICR_Typical,ICR_T_PREP_004,MethodID_Preparation,Non-purgeable organic carbon (NPOC) was measured on a separate field collected vial prior sample preparation and analysis on the FTICR-MS. Samples were diluted as needed based on the NPOC measurement to achieve a standard NPOC concentration of 1.5 milligrams_ Carbon_per_liter and acidified to pH 2 using 85% phosphoric acid prior to solid phase extraction (SPE).  If NPOC concentration of the sample was below 1.5 milligrams_Carbon_per_liter then the sample was not diluted and 15 milliliters of the undiluted sample were acidified and put through solid phase extraction (SPE).,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
ICR_Typical,ICR_T_AN_004,MethodID_Analysis,"Samples were run on a 12 Tesla (12T) Bruker SolariX FTICR-MS. Ion accumulation time (IAT) is appended to file name for each sample's xml files; where for example ""p08"" indicates an IAT of 0.08.",12 Tesla (12T) Bruker SolariX FTICR-MS,Environmental Molecular Sciences Laboratory/Pacific Northwest National Laboratory
ICR_Typical,ICR_T_DP_004,MethodID_DataProcessing,XML files provided for the user to complete data processing using provided instructions; Formularity; and R script. Processed data also provided in the form of Mol (molecular properties) and Data file. Columns in FTICR Processed Mol file are as follows: Mass (measured ionic mass; m/z). Columns C. H. O. N. C13. S. P. Na (atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn 2006 and modified as described in Tfaily et al. 2017.) El_Comp (function group(s) that are known. NeutralMass (zero-charge or neutral molecular mass. Calculated from observed ionic mass by balancing charge with protons or electrons). Error_ppm (parts per million error calculated as [expected molecular mass - measured molecular mass]/expected molecular mass * 1e6). Candidates (possible known molecules the analyzed molecule could be. Assigned by checking against a known database. Value of -1 when molecule was not checked against database). Processed Data file columns are identified by kit/sample ID and replicate number  and contain the spectra for each sample where the numerical value is the peak intensity at the particular molecular mass.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
IC_Method_QA_QC,IC_QAQC_000,MethodID_DataProcessing,Sample was ran in duplicate. Concentrations from duplicate samples was averaged.,N/A,Pacific Northwest National Laboratory (PNNL)
ION_Vial_Inspection_Method,VI_ION_006,MethodID_Inspection,First replicate missing. Second replicate used for analysis.,N/A,Pacific Northwest National Laboratory (PNNL)
Ion_Vial_Break_Method,VB_ION_002,MethodID_Inspection,Ion vial broke during freezing. Sample was transferred to new vial when thawed for analysis.,N/A,Pacific Northwest National Laboratory (PNNL)
Ions_Typical,ION_T_IN_006,MethodID_Inspection,Vials are not broken. No precipitate or suspended particles.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
Ions_Typical,ION_T_ST_006,MethodID_Storage,Vials were placed on blue ice after collection in the field and then frozen at -20 degC until they were transferred or shipped. Vials were shipped or transfered frozen and placed under blue ice while in transit. Samples were thawed and refrozen twice prior to final analysis. Samples arrived to final destination prior to analysis (PNNL – Richland Campus) mostly thawed.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
Ions_Typical,ION_T_PRES_006,MethodID_Preservation,Samples were filtered in the field to 0.22 microns and kept on ice upon collection and later frozen at -20 degC.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
Ions_Typical,ION_T_PREP_006,MethodID_Preparation,Samples were thawed overnight at 4 degC.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim/Richland
Ions_Typical,ION_T_AN_006,MethodID_Analysis,"Anion samples are determined quantitatively on a Dionex ICS-2000 anion chromatograph with AS40 auto sampler.  An isocratic method was used with 23 mM KOH eluent at 1 mL/minute at 30C.  The analytical column was an IonPac AS18, 4 x 250 mm, Dionex catalog # 060549.  The suppressor was a ADRS 600 4 mm, self-regenerating, Dionex catalog # 088666 set at 57 mA.  The calibration standards were made by diluting 1000 mg/L standards (SPEXCertiPrep, Inc) to make a mixture of 30 mg/L Cl, 40 mg/L SO4, 20 mg/L NO3, and 10 mg/L NO2.  The calibration ranges were 0.1 to 15 mg/L Cl, 0.2 to 20 mg/L SO4, 0.07 to 10 mg/L NO3, and 0.033 to 0.5 mg/L NO2.",Dionex ICS-6000 DP,Pacific Northwest National Laboratory (PNNL) – Richland
Ions_Typical,ION_T_DP_006,MethodID_DataProcessing,Manually checked peak identification. Checked peak shape and calibration curves prior to uploading data. The flags indicate the limits of detection.,N/A,Pacific Northwest National Laboratory (PNNL)
NPOC_Typical,NPOC_T_IN_000,MethodID_Inspection,Vials were intact and filled to marked line. No precipitate or suspended particles.,N/A,Pacific Northwest National Laboratory
NPOC_Typical,NPOC_T_ST_000,MethodID_Storage,Stored at -20 degC then thawed in 4 degC for three days.,N/A,Pacific Northwest National Laboratory
NPOC_Typical,NPOC_T_PRES_000,MethodID_Preservation,2 microliters of 85% phosphoric acid per 5 milliliters of sample was put in vial prior to adding sample.,N/A,Pacific Northwest National Laboratory
NPOC_Typical,NPOC_T_PREP_000,MethodID_Preparation,5 milliliters sample pipetted into analysis vial.,N/A,Pacific Northwest National Laboratory
NPOC_Typical,NPOC_T_AN_000,MethodID_Analysis,Best 4 of 5 injections; injection volume: 150 microliters; furnace temperature: 720 degC; standard concentration ranges 0.3-20 milligrams_per_liter_carbon,Shimadzu Total Organic Carbon L series (TOC-L),Pacific Northwest National Laboratory
NPOC_Typical,NPOC_T_DP_000,MethodID_DataProcessing,"Data evaluated for whether values were within +/- 10% of standard curve. If not then values were replaced with ""Below_Range"" or ""Above_Range"" text. Standard curves must have R-squared values >0.985. If standard curve R-squared is <0.985 then sample values are replaced with ""Low_Rsq_in_STD_Curve"". Injections with Area of 0 were dropped. If any sample had fewer than 3 injections then sample values are replaced with ""Too_Few_Injections"". If there were more than 3 injections - the 3 that were closest to each other were retained; the others were dropped. For each sample - the ratio of maximum to minimum areas within the remaining 3 injections was found and if the ratio was greater than 2 - the reported concentration is given as ""Injections_Too_Variable.""",N/A,Pacific Northwest National Laboratory
OUTLIER_Method_QA_QC,TN_OUTLIER_000,MethodID_DataProcessing,Total nitrogen coefficient of variation (CV) between replicates was higher than the set threshold. Replicate was identified as an outlier because it was determined to have the highest distance to the other two replicates using distance based outlier detection. Replicate was removed from summary because it was identified as an outlier.,N/A,Pacific Northwest National Laboratory (PNNL)
TN_Method_QA_QC,TN_CV_030,MethodID_DataProcessing,Total nitrogen coefficient of variation (CV) was higher than the set threshold.,N/A,Pacific Northwest National Laboratory (PNNL)
TN_Typical,TN_T_IN_000,MethodID_Inspection,Vials were intact. No precipitate or suspended particles.,N/A,Pacific Northwest National Laboratory
TN_Typical,TN_T_ST_000,MethodID_Storage,Stored at 4 degC in the dark until analysis. Analyzed within 1 month of collection.,N/A,Pacific Northwest National Laboratory
TN_Typical,TN_T_PRES_000,MethodID_Preservation,No preservatives added.,N/A,Pacific Northwest National Laboratory
TN_Typical,TN_T_PREP_000,MethodID_Preparation,5.5 milliliters sample pipetted into analysis vial.,N/A,Pacific Northwest National Laboratory
TN_Typical,TN_T_AN_000,MethodID_Analysis,Best 4 of 5 injections; injection vol: 150 microliters; furnace temp: 720 degC; standard concentration ranges: 0.1-10 milliters_per_liter_nitrate_as_nitrogen,Shimadzu Total Organic Carbon L series (TOC-L) with a Total Nitrogen Measurement L series (TNM-L),Pacific Northwest National Laboratory
TN_Typical,TN_T_DP_000,MethodID_DataProcessing,"Data evaluated for whether values were within +/- 10% of standard curve. If not then values were replaced with ""Below_Range"" or ""Above_Range"" text. Standard curves must have R-squared values >0.985. If standard curve R-squared is <0.985 then sample values are replaced with ""Low_Rsq_in_STD_Curve"". Injections with Area = 0 were dropped. If any sample had fewer than 3 injections then sample values are replaced with ""Too_Few_Injections"". If there were more than 3 injections - the 3 that were closest to each other were retained; the others were dropped. For each sample - the ratio of maximum to minimum Areas within the remaining 3 injections was found and if the ratio was greater than 2 - the reported concentration is given as ""Injections_Too_Variable.""",N/A,Pacific Northwest National Laboratory
TSS_Method,TSS_004,MethodID_Preparation,Filter clogged before entire 2 liters sample was finished filtering for total suspended solids (TSS) sample.,N/A,Pacific Northwest National Laboratory (PNNL)
TSS_Typical,TSS_T_IN_000,MethodID_Inspection,Bottles were intact and not leaking.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TSS_Typical,TSS_T_ST_000,MethodID_Storage,Vials were placed on blue ice after collection and then stored at 4 degC (refrigerator).,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TSS_Typical,TSS_T_PRES_000,MethodID_Preservation,Storage at 4 degC was the only preservation.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TSS_Typical,TSS_T_PREP_000,MethodID_Preparation,2 liter water samples were filtered through each 47 millimeter glass fiber filter (GF/F).,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TSS_Typical,TSS_T_AN_000,MethodID_Analysis,Non-filterable residue was dried at temperatures between 103 degC and 105 degC. Total suspended solids was calculated gravimetrically.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TSS_Typical,TSS_T_DP_000,MethodID_DataProcessing,Raw data was processed through a data evaluation script that flagged samples below limit of detection established by the Environmental Protection Agency (EPA),N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TSS_Vial_Inspection_Method,VI_TSS_003,MethodID_Inspection,Total suspended solids (TSS) bottle underfilled.,N/A,Pacific Northwest National Laboratory (PNNL)
