File_Name,File_Description,Standard,Header_Rows,Column_or_Row_Name_Position,File_Path
readme.txt.,Read me file with links to download data used in scripts.,N/A,-9999,-9999,/Data/Map_Layers
landcover16_yk.*,"Shapefile of data from ""CB_catchments_clean_joined.*"" subsetted to the Yakima River Basin (YRB). The asterisk refers to the file extension (.cpg; .dbf; .prj; .shp; .shx).",N/A,-9999,-9999,/Data/Map_Layers/landcover16_yk
tl_2021_us_state.*,Shapefile of the United States used to create Figure 1. Data were downloaded from https://www2.census.gov/geo/tiger/TIGER2021/STATE/.  The asterisk refers to the file extension (.cpg; .dbf; .prj; .qmd; .shp; .shx).,N/A,-9999,-9999,/Data/Map_Layers/tl_2021_us_state
Yakima_River_Basin.*,Shapefile of the Yakima River Basin (YRB) boundary. Data were downloaded from https://ecology.wa.gov/research-data/data-resources/geographic-information-systems-gis/data. The asterisk refers to the file extension (.cpg; .dbf; .prj; .qmd; .shp; .shx).,N/A,-9999,-9999,/Data/Map_Layers/Yakima_River_Basin
YRB_Cluster.*,"Shapefile of data from ""CB_catchments_clean_joined.*"" subsetted to the Yakima River Basin (YRB). The asterisk refers to the file extension (.cpg; .dbf; .prj; .shp; .shx).",N/A,-9999,-9999,/Data/Map_Layers/YRB_Cluster
YRB_River_4326.c*,Shapefile of rivers within the Yakima River Basin (YRB). Data were downloaded from USGS National Hydrography Dataset 2019 (https://www.usgs.gov/national-hydrography/national-hydrography-dataset).  The asterisk refers to the file extension (.cpg; .dbf; .prj; .shp; .shx).,N/A,-9999,-9999,/Data/Map_Layers/YRB_River_4326
Processed_RC2_SPS_11-2021_Data_Clean_VGC.csv,Processed FTICR-MS mass-by-sample data. The first column contains peak masses. The following columns correspond to merged samples generated by merging the data collected from three biological replicates from one site. Each row is associated with a merged peak where higher than zero indicating the peak was observed in at least one out of the three replicates.,ESS-DIVE CSV v1,1,1,/Data/OM_transformation_analysis
SPS_Total_and_Normalized_Transformations_01-03-23.csv,R code output data file from Transformation_Analysis_by_Sample_sapply.R. This code performs the organic matter (OM) biogeochemical transformation analysis using Fourier-transform ion cyclotron resonance mass spectrometry (FTICR-MS) data as described in the manuscript. The data file contains 1) the total number of OM transformations per site and the 2) the total number of OM transformations normalized by the number of peaks present in the site (i.e. normalized OM transformations).,ESS-DIVE CSV v1,1,1,/Data/OM_transformation_analysis
Transformation_Database_07-2020.csv,R code input data file to Transformation_Analysis_by_Sample_sapply.R containing 1) the name or molecular formula and 2) the mass for 1255 commonly observed biochemical transformations. These data are used to calculate the number of organic matter (OM) biochemical transformations using Fourier-transform ion cyclotron resonance mass spectrometry (FTICR-MS) data as described in the manuscript.,ESS-DIVE CSV v1,1,1,/Data/OM_transformation_analysis
readme.md,Read me file with links to download public data that is used in scripts.,N/A,-9999,-9999,/Data/Published_Data
Table_S5_Calculations.csv,Supplemental table of water column respiration rates from the literature. Also includes columns to convert from the reported units into the units of the data collected. This is the same table that is in the supplemental information; the column headers have been changed and the missing cells have been filled in to ensure machine readability. ,ESS-DIVE CSV v1,1,1,/Data/Published_Data
6clusters_centers.csv,R code data input file containing the six cluster centroid values for each variable-statistical moment combination. The k-means clustering algorithm uses these six cluster centroids to group NHDPlusV2.1 catchments in the Columbia River Basin into six classes sharing similar characteristics as described in the manuscript. The centroid values were derived by selecting six classes and letting the k-means converge over 150 iterations.,ESS-DIVE CSV v1,1,1,/Data/Site_selection_cluster_analysis
CB_catchments_clean_joined.*,Shapefile for U.S. Geological Survey National Hydrography Dataset Plus Version 2.1 (NHDPlusV2.1) catchments in the Columbia River Basin as described by the U.S. Geological Survey (2019). The CB_catchments_clean_joined.shp file is the main ArcGIS file and is a direct access variable-record-length file in which each record describes a shape (catchment) with a list of its vertices; the location; and the attributes for all NHDPlusV2.1 catchments (n = 181531) contained within the Columbia River Basin. The asterisk refers to the file extension (.cpg; .dbf; .prj; .sbn; .sbx; .shp; .shx; .xml). Due to the file size of the .shp file it is not included in the GitHub repository but can be located in the ESS-DIVE Data Package. ,N/A,-9999,-9999,/Data/Site_selection_cluster_analysis/CB_catchments_clustered
Figure_S3_Temp_DO_Plots.png,Figure S3 from the Supplementary Information section of the manuscript showing example triplicate dissolved oxygen and temperature data at two sites.,N/A,-9999,-9999,/Figures
Figure1_EnvConditionsPics.pdf,Figure 1 from the manuscript. This figure shows pictures of the dark bottle incubation and environmental conditions during sampling. ,N/A,-9999,-9999,/Figures
Figure2_ERlit_Density_Box_Plots.png,Figure 2 from the manuscript. This figure includes a) kernel density plot of comparisons of literature total and water column respiration to Yakima River basin water column respiration and b) boxplots of individual comparisons of medians from literature water column respiration and Yakima River basin water column respiration.,N/A,-9999,-9999,/Figures
Figure3_ERwc_LULC_Scatter.pdf,Figure 3a from the manuscript is a land use/land cover map of the Yakima River basin overlaid with points representing the magnitude or water column respiration at the 47 sites in the Yakima River basin.,N/A,-9999,-9999,/Figures
Figure3b_Cube_TotDr_Scatter_Plots.pdf,Figure 3b from the manuscript is a scatter plot of cube root transformed water column respiration and total drainage area with an ordinary least squares linear regression.,N/A,-9999,-9999,/Figures
Figure4_Cube_Lasso_Combined_Scatter_Plots.png,Figure 4 is scatter plots and ordinary least squares linear regressions of cube root transformed variables important in LASSO regression.,N/A,-9999,-9999,/Figures
FigureS1_Cluster_Respiration_Maps.pdf,Figure S1 from the Supplementary Information section of the manuscript showing the sites on a map of the clusters and variation of water column respiration.,N/A,-9999,-9999,/Figures
FigureS3_Dot_Plot_Mean_Rank.png,Figure S3 from the Supplementary Information section of the manuscript showing a dot plot of mean water column respiration rates for the triplicate sample incubations performed at each site.,N/A,-9999,-9999,/Figures
FigureS4_Scale_Cube_Pearson_Correlation_Matrix.png,"Figure S4 from the Supplementary Information section of the manuscript showing Pearson correlation coefficients, histograms, and scatter plots with ordinary least squares linear regressions of cube root transformed, scaled data variables with positive ERwc values  greater than 0.5 g m-3 d-1 removed and positive ERwc values less than 0.5 g m-3 d-1 turned to 0",N/A,-9999,-9999,/Figures
FigureS5_Scale_Cube_Pearson_Correlation_Matrix.png,"Figure S5 from the Supplementary Information section of the manuscript showing Pearson correlation coefficients, histograms, and scatter plots with ordinary least squares linear regressions of cube root transformed, scaled data variables with positive ERwc values less than 0.5 g m-3 d-1 retained",N/A,-9999,-9999,/Figures
ERwc_LULC.pdf,Intermediate map files created in the process of creating Figure 3.,N/A,-9999,-9999,/Figures/Intermediate_Files
SPS_ER_Water_Column_Map.pdf,Intermediate map files created in the process of creating Figure S1.,N/A,-9999,-9999,/Figures/Intermediate_Files
SPS_ER_Water_Column_Map_Cluster.pdf,Intermediate map files created in the process of creating Figure S1.,N/A,-9999,-9999,/Figures/Intermediate_Files
