"Removed St. Dev from Devol, means/st dev Quay,  small/medium/large rivers from ellis, genzoli and hall plot digitizer, gagne-maynard - might be same data as Ward 2018, take out Ward 2018 averages",,,,,,,,,,,,,,,,,,,,
Paper,River,Basin/Station,Reported_Value,Units,Rate_Conversion,Depth,Depth_Units,Respiratory_Quotient,Equation,Conversion,Conversion_Units,Time_Conversion,Time_Conversion_Units,Corrected_Value,Notes,Location_Notes,Respiration_Notes,Conversion_Description,,
Ellis et al. (2012),Madeira,Amazon Tributary,0.8,umol CO2/m2/s,-1,25,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-0.09,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Acre,Amazon Tributary,0.5,umol CO2/m2/s,-1,1.3,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-1.06,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Acre,Amazon Tributary,0.7,umol CO2/m2/s,-1,1.3,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-1.49,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Moa,Jurua Tributary,0.21,umol CO2/m2/s,-1,0.6,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-0.97,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Jurua,Amazon Tributary,0.8,umol CO2/m2/s,-1,2,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-1.11,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Tarauaca,Amazon Tributary,0.3,umol CO2/m2/s,-1,1,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-0.83,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Envira,Amazon Tributary,0.5,umol CO2/m2/s,-1,1.3,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-1.06,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Purus,Amazon Tributary,0.5,umol CO2/m2/s,-1,1.5,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-0.92,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Purus,Amazon Tributary,0.6,umol CO2/m2/s,-1,1.5,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-1.11,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Genzoli and Hall (2016),Klamath,SV (Seiad),-0.44,g O2/m2/d,1,1.3,m,,,,,,,-0.34,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,SV (Seiad),-0.37,g O2/m2/d,1,1.2,m,,,,,,,-0.31,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,SV (Seiad),-0.38,g O2/m2/d,1,1.2,m,,,,,,,-0.32,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,SV (Seiad),-0.26,g O2/m2/d,1,1.1,m,,,,,,,-0.24,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,SV (Seiad),-0.6,g O2/m2/d,1,1.1,m,,,,,,,-0.55,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,SV (Seiad),-1.49,g O2/m2/d,1,1.1,m,,,,,,,-1.35,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,SV (Seiad),-1.18,g O2/m2/d,1,1.1,m,,,,,,,-1.07,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,SV (Seiad),-0.57,g O2/m2/d,1,1.1,m,,,,,,,-0.52,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,SV (Seiad),-0.6,g O2/m2/d,1,1.1,m,,,,,,,-0.55,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,KAT (Turwar),-0.35,g O2/m2/d,1,2.4,m,,,,,,,-0.15,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,KAT (Turwar),-0.72,g O2/m2/d,1,2.1,m,,,,,,,-0.34,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,KAT (Turwar),-0.92,g O2/m2/d,1,1.9,m,,,,,,,-0.48,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,KAT (Turwar),-0.45,g O2/m2/d,1,1.8,m,,,,,,,-0.25,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,KAT (Turwar),-0.85,g O2/m2/d,1,1.8,m,,,,,,,-0.47,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,KAT (Turwar),-1,g O2/m2/d,1,1.8,m,,,,,,,-0.56,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,WE (Weitchpec),-0.31,g O2/m2/d,1,1.5,m,,,,,,,-0.21,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,WE (Weitchpec),-0.67,g O2/m2/d,1,1.4,m,,,,,,,-0.48,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,WE (Weitchpec),-0.82,g O2/m2/d,1,1.3,m,,,,,,,-0.63,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,WE (Weitchpec),-0.66,g O2/m2/d,1,1.3,m,,,,,,,-0.51,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,WE (Weitchpec),-0.79,g O2/m2/d,1,1.2,m,,,,,,,-0.66,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,WE (Weitchpec),-2.13,g O2/m2/d,1,1.2,m,,,,,,,-1.78,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,WE (Weitchpec),-0.85,g O2/m2/d,1,1.2,m,,,,,,,-0.71,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Genzoli and Hall (2016),Klamath,WE (Weitchpec),-2.84,g O2/m2/d,1,1.2,m,,,,,,,-2.37,unpublished data in shared drive,3 study reaches along the Klamath river,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Reisinger et al. (2021),"East Fork, White River",,1.56,g O2/m2/d,-1,0.76,m,,,,,,,-2.06,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Reisinger et al. (2021),Manistee River,,0.65,g O2/m2/d,-1,1.29,m,,,,,,,-0.5,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Reisinger et al. (2021),Muskegon River,,0.63,g O2/m2/d,-1,0.94,m,,,,,,,-0.67,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
