Site_ID,Latitude,Longitude,IGSN,Description,Physiographic_Feature_Name,COMID,RawCOMID_Used,Country,Methods_and_Flags,Submission_Contact_Name,Submission_Contact_Email
Ct21,46.649118,-121.299522,10.58052/IEPRS00UO,stream,Clear Creek Tributary,-9999,N/A,United States,COMID_07; RawCOMID_24423347; Flag_00,Allison Myers-Pigg,allison.myers-pigg@pnnl.gov
CT-BUNN,41.7862,-72.965,10.58052/IEWDR00WP,stream,Bunnell Brook,6109247,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
CT-EBRA,44.6339,-71.8981,10.58052/IEWDR00WQ,stream,East Branch Passumpsic River,4570659,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
CT-FARM,41.9083,-72.7594,10.58052/IEWDR00WR,stream,Farmington River,6109717,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
CT-MOOS,44.5117,-71.8378,10.58052/IEWDR00WS,stream,Moose River,4570675,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
CT-NEPA,41.8207,-72.9701,10.58052/IEWDR00WT,stream,Nepaug River,6109457,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
CT-PASS,44.3656,-72.0393,10.58052/IEWDR00WU,stream,Passumpsic River,4572379,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
CT-PHEL,41.7998,-72.9649,10.58052/IEWDR00WV,stream,Phelps Brook,6109235,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
CT-POPE,44.4761,-72.125,10.58052/IEWDR00WW,stream,Pope Brook,4572347,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
CT-SLPR,44.4353,-72.0389,10.58052/IEWDR00WX,stream,Sleepers River,4572307,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
CT-STIL,41.9679,-73.0334,10.58052/IEWDR00WY,stream,Still River,6111419,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
CT-THOM,41.9872,-72.6058,10.58052/IEWDR00WZ,stream,Connecticut River,7700898,FALSE,United States,COMID_06; COMID_05; RawCOMID_7699970; Flag_00,James Stegen,james.stegen@pnnl.gov
CT-UNIO,41.7555,-72.887,10.58052/IEWDR00X0,stream,Farmington River at Unionville,6109643,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
CT-W9,44.4906,-72.1622,10.58052/IEWDR00X1,stream,W-9; Pope Brook Tributary,-9999,N/A,United States,COMID_07; RawCOMID_4572347; Flag_00,James Stegen,james.stegen@pnnl.gov
CUL-LAP,43.82276,-121.797685,10.58052/IEWDR00X2,stream,Cultus River,23700639,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
CW19,45.025,-74.6766,10.58052/IEWDR01BD,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
CW20,45.00262,-74.68841,10.58052/IEWDR01BE,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
CW21,45.00483,-74.65931,10.58052/IEWDR01BF,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
CW22,45.00738,-74.63775,10.58052/IEWDR01BI,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
CW23,45.0207,-74.5697,10.58052/IEWDR01BG,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
DES-BFA,43.9305,-121.412,10.58052/IEWDR00X3,stream,Deschutes River at Benham Falls,23700413,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
DES-LAP,43.814019,-121.777208,10.58052/IEWDR00X4,stream,Deschutes River at La Pine,23700583,TRUE,United States,COMID_02; COMID_05,James Stegen,james.stegen@pnnl.gov
DES-MAD,44.742799,-121.229678,10.58052/IEWDR00X5,stream,Deschutes River near Madras,23719673,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
DES-MOO,45.6222,-120.9044,10.58052/IEWDR00X6,stream,Deschutes River near Biggs,23718705,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
DES-WIC,43.686204,-121.687328,10.58052/IEWDR00X7,stream,Deschutes River below Wikiup Reservoir,23700493,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
E020,44.05611111,-122.8277778,10.58052/IEPRS001U,stream,McKenzie River,23772789,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
E030,44.07027778,-122.77,10.58052/IEPRS001V,stream,McKenzie River,23772801,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
E040,44.125,-122.4694444,10.58052/IEPRS001W,stream,McKenzie River,23772909,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
E310,44.070619,-122.884631,10.58052/IEPRS00M7,stream,Camp Creek,23773487,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
E360,44.141016,-122.605426,10.58052/IEPRS001X,stream,Hatchery Creek,23774155,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
E390,44.146326,-122.572401,10.58052/IEPRS001P,stream,Gate Creek,23773469,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
E410,44.133096,-122.483071,10.58052/IEPRS001Q,stream,Bear Creek,23774225,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
E430,44.149595,-122.364665,10.58052/IEPRS001R,stream,Elk Creek,23774923,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
E431,44.138089,-122.372966,10.58052/IEPRS001Y,stream,Doris Creek,-9999,N/A,United States,COMID_07; RawCOMID_; Flag_00,James Stegen,james.stegen@pnnl.gov
E432,44.143315,-122.368051,10.58052/IEPRS001Z,stream,Fern Creek,-9999,N/A,United States,COMID_07; RawCOMID_23772985; Flag_00,James Stegen,james.stegen@pnnl.gov
E440,44.125267,-122.529883,10.58052/IEPRS001S,stream,Marten Creek,23772889,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
E543,44.209191,-122.25725,10.58052/IEPRS0020,stream,Lookout Creek,23773411,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
E547,44.160261,-122.334339,10.58052/IEPRS001T,stream,Simmonds Creek,23773463,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
EAS-ALM,38.6644,-106.8475,10.58052/IEWDR00X8,stream,East River at Almont,1333418,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
EAS-BRA,38.9857545,-107.0027911,10.58052/IEWDR00X9,stream,Bradley Creek tributary  of East River,1332190,TRUE,United States,COMID_02; COMID_04,James Stegen,james.stegen@pnnl.gov
EAS-PUM,38.9225691,-106.9508935,10.58052/IEWDR00XA,stream,East River pump house,1332754,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
EAS-ROC,38.9826927,-107.0051498,10.58052/IEWDR00XB,stream,Rock Creek tributary of East River,1332198,FALSE,United States,COMID_06; RawCOMID_1332194; Flag_00,James Stegen,james.stegen@pnnl.gov
EAS-RUS,38.9905473,-107.0065371,10.58052/IEWDR00XC,stream,Rustlers Creek tributary of East River,1332186,TRUE,United States,COMID_02; COMID_04,James Stegen,james.stegen@pnnl.gov
GUN-GRJ,38.9833,-108.45,10.58052/IEWDR00XD,stream,Gunnison River near Grand Junction,3232569,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
GUN-GUN,38.529203,-106.956087,10.58052/IEWDR00XE,stream,Gunnison River near Gunnison,3252665,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
GUN-R32,38.5172,-106.9956,10.58052/IEWDR00XF,stream,Gunnison River at Road 32,3252693,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
GUN-TUN,38.5292,-107.6483,10.58052/IEWDR00XG,stream,Gunnison River below Gunnison Tunnel,3252173,TRUE,United States,COMID_02; COMID_05,James Stegen,james.stegen@pnnl.gov
HJA-WS1,44.208517,-122.256831,10.58052/IEWDR00XH,stream,HJ Andrews watershed 1,-9999,N/A,United States,COMID_07; RawCOMID_23773411; Flag_00,James Stegen,james.stegen@pnnl.gov
HJA-WS2,44.213385,-122.243976,10.58052/IEWDR00XI,stream,HJ Andrews watershed 2,-9999,N/A,United States,COMID_07; RawCOMID_23773411; Flag_00,James Stegen,james.stegen@pnnl.gov
IRQ1,44.5815,-75.679,10.58052/IEWDR01AW,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
IRQ1.5,44.736,-75.4524,10.58052/IEWDR01B0,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
IRQ2,44.8203,-75.314,10.58052/IEWDR01B1,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LDS-LAP,43.6892,-121.503,10.58052/IEWDR00XJ,stream,Little Deschutes River near La Pine,23706200,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
LOO-BLU,44.2097,-122.257,10.58052/IEWDR00XK,stream,Lookout Creek near Blue River,23773411,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
LSF1,45.2255,-74.2521,10.58052/IEWDR01BA,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSF2,45.2083,-74.2327,10.58052/IEWDR01BC,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSF24,45.0378,-74.5253,10.58052/IEWDR01BH,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSF25,45.1262,-74.4916,10.58052/IEWDR01BJ,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSF26,45.181,-74.3737,10.58052/IEWDR01BK,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSF3,45.189,-74.2141,10.58052/IEWDR01BB,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSF3.5,45.3461,-73.9723,10.58052/IEWDR01AK,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSL1,45.4095,-73.8706,10.58052/IEWDR01BL,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSL13,44.8976,-75.17,10.58052/IEWDR01AY,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSL14,44.9908,-74.9473,10.58052/IEWDR01B8,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSL15,45.0099,-74.9389,10.58052/IEWDR01B9,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSL16,45.0138,-74.89,10.58052/IEWDR01B5,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSL17,45.0261,-74.8901,10.58052/IEWDR01B2,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSL18,45.0189,-74.8569,10.58052/IEWDR01B6,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSL2,45.3954,-73.843,10.58052/IEWDR01BM,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSL3,45.3816,-73.807,10.58052/IEWDR01BN,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSPA1,46.2663,-72.7154,10.58052/IEWDR01CI,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSPA3,46.2638,-72.6952,10.58052/IEWDR01CJ,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSPA4,46.2453,-72.6776,10.58052/IEWDR01CK,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSPM1,46.226,-72.8541,10.58052/IEWDR01CF,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSPM2,46.2033,-72.8251,10.58052/IEWDR01CH,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
LSPM3,46.1841,-72.8066,10.58052/IEWDR01CG,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
MASS1,47.2429,-70.5521,10.58052/IEWDR01D1,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
MCK-WAL,44.06957,-122.772306,10.58052/IEWDR00XL,stream,McKenzie River near Walterville,23772801,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
MP-1110,37.3724,-80.8599,10.58052/IEWDR01KP,stream,New River,6908699,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-11342,37.0422,-80.5627,10.58052/IEWDR01L5,stream,Little River,6884184,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-1285,33.6666,-79.8467,10.58052/IEWDR01KQ,stream,Black River,9090922,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-1425,43.4099,-83.965,10.58052/IEWDR01KR,stream,Saginaw River,13204443,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-1481,46.804,-96.798,10.58052/IEWDR01KS,stream,Red River of the North,6667885,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-161,42.7231,-73.1978,10.58052/IEWDR01KK,stream,Hoosic River,22290173,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-162,42.7638,-73.3372,10.58052/IEWDR01KL,stream,Little Hoosic River,22290155,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-1796,45.5974,-110.566,10.58052/IEWDR01KT,stream,Yellowstone River,4366016,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-18,43.0881,-71.2346,10.58052/IEWDR01KH,stream,Lamprey River,5848094,TRUE,United States,COMID_02; COMID_04,James Stegen,james.stegen@pnnl.gov
MP-19,43.0795,-71.0359,10.58052/IEWDR01KI,stream,North River,5848106,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-195,42.5055,-73.5062,10.58052/IEWDR01KM,stream,Kinderhook Creek,6186124,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-2179,29.3338,-95.2832,10.58052/IEWDR01KU,stream,Chocolate Bayou,1566256,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-2194,30.2457,-97.6915,10.58052/IEWDR01KV,stream,Lower Colorado River,5781917,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
MP-2197,28.8318,-96.5783,10.58052/IEWDR01KW,stream,Lavaca River/Estuary,7843181,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
MP-2376,39.0073,-121.5804,10.58052/IEWDR01KX,stream,Bear/Feather River,7972667,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
MP-2529,48.8186,-122.5806,10.58052/IEWDR01KY,stream,Nooksack River,23955772,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-2699,46.7322,-117.1805,10.58052/IEWDR01KZ,stream,South Fork Palouse,23459939,TRUE,United States,COMID_02; COMID_05,James Stegen,james.stegen@pnnl.gov
MP-2865,41.3825,-72.8972,10.58052/IEWDR01L0,stream,Mill River,6177260,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-3102,33.9485,-117.6118,10.58052/IEWDR01L1,stream,Cucamonga Creek,22563070,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
MP-3254,38.9746,-119.8218,10.58052/IEWDR01L2,stream,West Fork Carson River,8922013,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
MP-3317,39.4803,-106.0468,10.58052/IEWDR01L3,stream,Blue River,1314635,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
MP-3508,40.1047,-77.1803,10.58052/IEWDR01L4,stream,Mountain Creek,4711518,FALSE,United States,COMID_06; COMID_05; RawCOMID_4711522; Flag_00,James Stegen,james.stegen@pnnl.gov
MP-55,41.5236,-72.2067,10.58052/IEWDR01KJ,stream,Yantic River,-9999,N/A,United States,COMID_07; RawCOMID_6168502; Flag_00,James Stegen,james.stegen@pnnl.gov
MP-587,38.7819,-77.3884,10.58052/IEWDR01KN,stream,Pope's Head Creek,22339187,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
MP-645,35.3668,-77.4403,10.58052/IEWDR01KO,stream,Contentnea Creek,11574664,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
ONT1,44.1923,-76.5755,10.58052/IEWDR01AL,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
ONT2,44.1923,-76.3964,10.58052/IEWDR01AM,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
ORL2,47.0044,-70.7079,10.58052/IEWDR01CZ,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
ORL3,46.9782,-70.687,10.58052/IEWDR01D0,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
QC1,46.8426,-71.1815,10.58052/IEWDR01CX,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
QC2,46.8377,-71.1647,10.58052/IEWDR01CW,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
QC3,46.8349,-71.1566,10.58052/IEWDR01CV,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
QC4,46.8226,-71.2081,10.58052/IEWDR01CY,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
REP1,45.7427,-73.4338,10.58052/IEWDR01BZ,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
REP2,45.7416,-73.4243,10.58052/IEWDR01C0,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
REP3,45.7445,-73.4062,10.58052/IEWDR01C1,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
REP4,45.7361,-73.4117,10.58052/IEWDR01BY,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
S01,46.976,-121.1579,10.58052/IEPRS00TW,stream,American River,24422913,FALSE,United States,COMID_06; RawCOMID_24422911; Flag_00,James Stegen,james.stegen@pnnl.gov
S02,46.9754,-121.158,10.58052/IEPRS00TX,stream,Bumping River,24422975,TRUE,United States,COMID_00,James Stegen,james.stegen@pnnl.gov
S03,47.0195,-121.1285,10.58052/IEPRS00TY,stream,Quartz Creek,24423897,TRUE,United States,COMID_00,James Stegen,james.stegen@pnnl.gov
S04,46.8099,-121.0672,10.58052/IEPRS00TZ,stream,North Fork Rattlesnake Creek,24423139,FALSE,United States,COMID_06; RawCOMID_24423137; Flag_00,James Stegen,james.stegen@pnnl.gov
S08,47.0171,-121.1357,10.58052/IEPRS00U0,stream,Little Naches River,24422831,TRUE,United States,COMID_00; COMID_05,James Stegen,james.stegen@pnnl.gov
S10,46.8095,-121.0675,10.58052/IEPRS00U1,stream,Rattlesnake Creek,24423157,FALSE,United States,COMID_06; RawCOMID_24423137; Flag_00,James Stegen,james.stegen@pnnl.gov
S11,46.9006,-121.2466,10.58052/IEPRS00U2,stream,Bumping River,24422999,TRUE,United States,COMID_00; COMID_05,James Stegen,james.stegen@pnnl.gov
S12,47.05638,-121.26788,10.58052/IEPRS00UP,stream,South Fork Little Naches River,24422871,TRUE,United States,COMID_00,James Stegen,james.stegen@pnnl.gov
S13R,47.420551,-121.086972,10.58052/IEPRS007V,stream,Cle Elum River,24125883,TRUE,United States,COMID_00,James Stegen,james.stegen@pnnl.gov
S14,47.41986,-121.087854,10.58052/IEPRS007W,stream,Waptus River,24125945,TRUE,United States,COMID_00,James Stegen,james.stegen@pnnl.gov
S15,47.363498,-121.106919,10.58052/IEPRS007X,stream,Thorp Creek,24126041,TRUE,United States,COMID_00,James Stegen,james.stegen@pnnl.gov
S16,47.42067,-121.14629,10.58052/IEPRS00UQ,stream,Cooper River,24126011,TRUE,United States,COMID_00,James Stegen,james.stegen@pnnl.gov
S17,47.39473,-121.10328,10.58052/IEPRS00UR,stream,Cooper River,24125999,TRUE,United States,COMID_00,James Stegen,james.stegen@pnnl.gov
S17R,47.394429,-121.10174,10.58052/IEPRS007Y,stream,Cooper River,24125999,TRUE,United States,COMID_00,James Stegen,james.stegen@pnnl.gov
S18,47.39479,-121.09626,10.58052/IEPRS00US,stream,Cle Elum River,24125873,TRUE,United States,COMID_00,James Stegen,james.stegen@pnnl.gov
S18R,47.39603,-121.096933,10.58052/IEPRS007Z,stream,Cle Elum River,24125873,TRUE,United States,COMID_00; COMID_05,James Stegen,james.stegen@pnnl.gov
S19,47.258225,-120.904118,10.58052/IEPRS0080,stream,West Fork Teanaway River,24125729,TRUE,United States,COMID_00; COMID_05,James Stegen,james.stegen@pnnl.gov
S19E,47.255067,-120.878922,10.58052/IEPRS0081,stream,North Fork Teanaway River,24125633,TRUE,United States,COMID_00,James Stegen,james.stegen@pnnl.gov
S19S_0001,49.38609,-121.45047,10.58052/IEWDR00OJ,stream,Fraser,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
S19S_0003,50.6888,-120.36647,10.58052/IEWDR00OK,stream,Thompson,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
S19S_0004,50.7751,-119.72196,10.58052/IEWDR00OL,stream,South Thompson,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
S19S_0005,49.86887,-97.40781,10.58052/IEWDR00OM,stream,Assiniboine,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
S19S_0006,39.311369,-76.717163,10.58052/IEWDR00ON,stream,Dead Run,11689186,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
S19S_0006_D,39.311369,-76.717163,10.58052/IEWDR0008,stream,Dead Run,11689186,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
S19S_0006_M,39.31162,-76.717316,10.58052/IEWDR0007,stream,Dead Run,11689186,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
S19S_0006_U,39.311813,-76.717476,10.58052/IEWDR0006,stream,Dead Run,11689186,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
S19S_0007,37.05255,-119.195598,10.58052/IEWDR00OO,stream,Providence Creek / KREW's P304 creek,-9999,N/A,United States,COMID_07; RawCOMID_22047841; Flag_00,James Stegen,james.stegen@pnnl.gov
S19S_0007_D,37.05255,-119.195598,10.58052/IEWDR000B,stream,Providence Creek / KREW's P304 creek,-9999,N/A,United States,COMID_07; RawCOMID_22047841; Flag_00,James Stegen,james.stegen@pnnl.gov
S19S_0007_M,37.052435,-119.19567,10.58052/IEWDR000A,stream,Providence Creek / KREW's P304 creek,-9999,N/A,United States,COMID_07; RawCOMID_22047841; Flag_00,James Stegen,james.stegen@pnnl.gov
S19S_0007_U,37.05229,-119.195359,10.58052/IEWDR0009,stream,Providence Creek / KREW's P304 creek,-9999,N/A,United States,COMID_07; RawCOMID_22047841; Flag_00,James Stegen,james.stegen@pnnl.gov
S19S_0008,36.961112,-119.027785,10.58052/IEWDR00OP,stream,Teakettle T003 stream,22050323,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
